temp,weather,windspeed,humidity,season,count,year,month,hour
9.84,1,8.9981,81,1,16,2011,1,0
9.02,1,8.9981,80,1,40,2011,1,1
9.02,1,8.9981,80,1,32,2011,1,2
9.84,1,8.9981,75,1,13,2011,1,3
9.84,1,8.9981,75,1,1,2011,1,4
9.84,2,6.0032,75,1,1,2011,1,5
9.02,1,8.9981,80,1,2,2011,1,6
8.2,1,8.9981,86,1,3,2011,1,7
9.84,1,8.9981,75,1,8,2011,1,8
13.12,1,8.9981,76,1,14,2011,1,9
15.58,1,16.9979,76,1,36,2011,1,10
14.76,1,19.0012,81,1,56,2011,1,11
17.22,1,19.0012,77,1,84,2011,1,12
18.86,2,19.9995,72,1,94,2011,1,13
18.86,2,19.0012,72,1,106,2011,1,14
18.04,2,19.9995,77,1,110,2011,1,15
17.22,2,19.9995,82,1,93,2011,1,16
18.04,2,19.0012,82,1,67,2011,1,17
17.22,3,16.9979,88,1,35,2011,1,18
17.22,3,16.9979,88,1,37,2011,1,19
16.4,2,16.9979,87,1,36,2011,1,20
16.4,2,12.998,87,1,34,2011,1,21
16.4,2,15.0013,94,1,28,2011,1,22
18.86,2,19.9995,88,1,39,2011,1,23
18.86,2,19.9995,88,1,17,2011,1,0
18.04,2,16.9979,94,1,17,2011,1,1
17.22,2,19.0012,100,1,9,2011,1,2
18.86,2,12.998,94,1,6,2011,1,3
18.86,2,12.998,94,1,3,2011,1,4
17.22,3,19.9995,77,1,2,2011,1,6
16.4,2,12.998,76,1,1,2011,1,7
16.4,3,15.0013,71,1,8,2011,1,8
15.58,2,15.0013,76,1,20,2011,1,9
14.76,2,15.0013,81,1,53,2011,1,10
14.76,2,16.9979,71,1,70,2011,1,11
14.76,2,19.9995,66,1,93,2011,1,12
14.76,2,8.9981,66,1,75,2011,1,13
14.76,3,12.998,76,1,59,2011,1,14
13.94,3,11.0014,81,1,74,2011,1,15
13.94,3,11.0014,71,1,76,2011,1,16
13.94,1,12.998,57,1,65,2011,1,17
14.76,2,22.0028,46,1,53,2011,1,18
13.12,1,30.0026,42,1,30,2011,1,19
12.3,1,23.9994,39,1,22,2011,1,20
10.66,1,22.0028,44,1,31,2011,1,21
9.84,1,19.9995,44,1,9,2011,1,22
9.02,1,11.0014,47,1,8,2011,1,23
9.02,1,23.9994,44,1,5,2011,1,0
8.2,1,27.9993,44,1,2,2011,1,1
6.56,1,26.0027,47,1,1,2011,1,4
6.56,1,19.0012,47,1,3,2011,1,5
5.74,1,26.0027,50,1,30,2011,1,6
