temp,weather,windspeed,humidity,atemp,season,holiday,workingday,year,month,day,hour,min,sec,log_count
9.84,1,0.0,81,14.395,1,0,0,2011,1,1,0,0,0,2.772588722239781
9.02,1,0.0,80,13.635,1,0,0,2011,1,1,1,0,0,3.6888794541139363
9.02,1,0.0,80,13.635,1,0,0,2011,1,1,2,0,0,3.4657359027997265
9.84,1,0.0,75,14.395,1,0,0,2011,1,1,3,0,0,2.5649493574615367
9.84,1,0.0,75,14.395,1,0,0,2011,1,1,4,0,0,0.0
9.84,2,6.0032,75,12.88,1,0,0,2011,1,1,5,0,0,0.0
9.02,1,0.0,80,13.635,1,0,0,2011,1,1,6,0,0,0.6931471805599453
8.2,1,0.0,86,12.88,1,0,0,2011,1,1,7,0,0,1.0986122886681098
9.84,1,0.0,75,14.395,1,0,0,2011,1,1,8,0,0,2.0794415416798357
13.12,1,0.0,76,17.425,1,0,0,2011,1,1,9,0,0,2.6390573296152584
15.58,1,16.9979,76,19.695,1,0,0,2011,1,1,10,0,0,3.58351893845611
14.76,1,19.0012,81,16.665,1,0,0,2011,1,1,11,0,0,4.02535169073515
17.22,1,19.0012,77,21.21,1,0,0,2011,1,1,12,0,0,4.430816798843313
18.86,2,19.9995,72,22.725,1,0,0,2011,1,1,13,0,0,4.543294782270004
18.86,2,19.0012,72,22.725,1,0,0,2011,1,1,14,0,0,4.663439094112067
18.04,2,19.9995,77,21.97,1,0,0,2011,1,1,15,0,0,4.700480365792417
17.22,2,19.9995,82,21.21,1,0,0,2011,1,1,16,0,0,4.532599493153256
18.04,2,19.0012,82,21.97,1,0,0,2011,1,1,17,0,0,4.204692619390966
17.22,3,16.9979,88,21.21,1,0,0,2011,1,1,18,0,0,3.5553480614894135
17.22,3,16.9979,88,21.21,1,0,0,2011,1,1,19,0,0,3.6109179126442243
16.4,2,16.9979,87,20.455,1,0,0,2011,1,1,20,0,0,3.58351893845611
16.4,2,12.998,87,20.455,1,0,0,2011,1,1,21,0,0,3.5263605246161616
16.4,2,15.0013,94,20.455,1,0,0,2011,1,1,22,0,0,3.332204510175204
18.86,2,19.9995,88,22.725,1,0,0,2011,1,1,23,0,0,3.6635616461296463
18.86,2,19.9995,88,22.725,1,0,0,2011,1,2,0,0,0,2.833213344056216
18.04,2,16.9979,94,21.97,1,0,0,2011,1,2,1,0,0,2.833213344056216
17.22,2,19.0012,100,21.21,1,0,0,2011,1,2,2,0,0,2.1972245773362196
18.86,2,12.998,94,22.725,1,0,0,2011,1,2,3,0,0,1.791759469228055
18.86,2,12.998,94,22.725,1,0,0,2011,1,2,4,0,0,1.0986122886681098
17.22,3,19.9995,77,21.21,1,0,0,2011,1,2,6,0,0,0.6931471805599453
16.4,2,12.998,76,20.455,1,0,0,2011,1,2,7,0,0,0.0
16.4,3,15.0013,71,20.455,1,0,0,2011,1,2,8,0,0,2.0794415416798357
15.58,2,15.0013,76,19.695,1,0,0,2011,1,2,9,0,0,2.995732273553991
14.76,2,15.0013,81,17.425,1,0,0,2011,1,2,10,0,0,3.970291913552122
14.76,2,16.9979,71,16.665,1,0,0,2011,1,2,11,0,0,4.248495242049359
14.76,2,19.9995,66,16.665,1,0,0,2011,1,2,12,0,0,4.532599493153256
14.76,2,8.9981,66,17.425,1,0,0,2011,1,2,13,0,0,4.31748811353631
14.76,3,12.998,76,17.425,1,0,0,2011,1,2,14,0,0,4.07753744390572
13.94,3,11.0014,81,16.665,1,0,0,2011,1,2,15,0,0,4.30406509320417
13.94,3,11.0014,71,16.665,1,0,0,2011,1,2,16,0,0,4.330733340286331
13.94,1,12.998,57,16.665,1,0,0,2011,1,2,17,0,0,4.174387269895637
14.76,2,22.0028,46,16.665,1,0,0,2011,1,2,18,0,0,3.970291913552122
13.12,1,30.0026,42,14.395,1,0,0,2011,1,2,19,0,0,3.4011973816621555
12.3,1,23.9994,39,13.635,1,0,0,2011,1,2,20,0,0,3.091042453358316
10.66,1,22.0028,44,11.365,1,0,0,2011,1,2,21,0,0,3.4339872044851463
9.84,1,19.9995,44,10.605,1,0,0,2011,1,2,22,0,0,2.1972245773362196
9.02,1,11.0014,47,11.365,1,0,0,2011,1,2,23,0,0,2.0794415416798357
9.02,1,23.9994,44,9.85,1,0,1,2011,1,3,0,0,0,1.6094379124341003
8.2,1,27.9993,44,8.335,1,0,1,2011,1,3,1,0,0,0.6931471805599453
6.56,1,26.0027,47,6.82,1,0,1,2011,1,3,4,0,0,0.0
6.56,1,19.0012,47,6.82,1,0,1,2011,1,3,5,0,0,1.0986122886681098
5.74,1,26.0027,50,5.305,1,0,1,2011,1,3,6,0,0,3.4011973816621555
5.74,1,12.998,50,6.82,1,0,1,2011,1,3,7,0,0,4.1588830833596715
5.74,1,19.0012,50,6.06,1,0,1,2011,1,3,8,0,0,5.0369526024136295
6.56,1,26.0027,43,6.82,1,0,1,2011,1,3,9,0,0,4.477336814478207
7.38,1,16.9979,43,8.335,1,0,1,2011,1,3,10,0,0,3.784189633918261
8.2,1,22.0028,40,9.09,1,0,1,2011,1,3,11,0,0,3.9318256327243257
