windspeed,season,weather,humidity,temp,count,year,month,hour
8.9981,1,1,81,9.84,16,2011,1,0
8.9981,1,1,80,9.02,40,2011,1,1
8.9981,1,1,80,9.02,32,2011,1,2
8.9981,1,1,75,9.84,13,2011,1,3
8.9981,1,1,75,9.84,1,2011,1,4
6.0032,1,2,75,9.84,1,2011,1,5
8.9981,1,1,80,9.02,2,2011,1,6
8.9981,1,1,86,8.2,3,2011,1,7
8.9981,1,1,75,9.84,8,2011,1,8
8.9981,1,1,76,13.12,14,2011,1,9
16.9979,1,1,76,15.58,36,2011,1,10
19.0012,1,1,81,14.76,56,2011,1,11
19.0012,1,1,77,17.22,84,2011,1,12
19.9995,1,2,72,18.86,94,2011,1,13
19.0012,1,2,72,18.86,106,2011,1,14
19.9995,1,2,77,18.04,110,2011,1,15
19.9995,1,2,82,17.22,93,2011,1,16
19.0012,1,2,82,18.04,67,2011,1,17
16.9979,1,3,88,17.22,35,2011,1,18
16.9979,1,3,88,17.22,37,2011,1,19
16.9979,1,2,87,16.4,36,2011,1,20
12.998,1,2,87,16.4,34,2011,1,21
15.0013,1,2,94,16.4,28,2011,1,22
19.9995,1,2,88,18.86,39,2011,1,23
19.9995,1,2,88,18.86,17,2011,1,0
16.9979,1,2,94,18.04,17,2011,1,1
19.0012,1,2,100,17.22,9,2011,1,2
12.998,1,2,94,18.86,6,2011,1,3
12.998,1,2,94,18.86,3,2011,1,4
19.9995,1,3,77,17.22,2,2011,1,6
12.998,1,2,76,16.4,1,2011,1,7
15.0013,1,3,71,16.4,8,2011,1,8
15.0013,1,2,76,15.58,20,2011,1,9
15.0013,1,2,81,14.76,53,2011,1,10
16.9979,1,2,71,14.76,70,2011,1,11
19.9995,1,2,66,14.76,93,2011,1,12
8.9981,1,2,66,14.76,75,2011,1,13
12.998,1,3,76,14.76,59,2011,1,14
11.0014,1,3,81,13.94,74,2011,1,15
11.0014,1,3,71,13.94,76,2011,1,16
12.998,1,1,57,13.94,65,2011,1,17
22.0028,1,2,46,14.76,53,2011,1,18
30.0026,1,1,42,13.12,30,2011,1,19
23.9994,1,1,39,12.3,22,2011,1,20
22.0028,1,1,44,10.66,31,2011,1,21
19.9995,1,1,44,9.84,9,2011,1,22
11.0014,1,1,47,9.02,8,2011,1,23
23.9994,1,1,44,9.02,5,2011,1,0
27.9993,1,1,44,8.2,2,2011,1,1
26.0027,1,1,47,6.56,1,2011,1,4
19.0012,1,1,47,6.56,3,2011,1,5
26.0027,1,1,50,5.74,30,2011,1,6
12.998,1,1,50,5.74,64,2011,1,7
19.0012,1,1,50,5.74,154,2011,1,8
26.0027,1,1,43,6.56,88,2011,1,9
16.9979,1,1,43,7.38,44,2011,1,10
22.0028,1,1,40,8.2,51,2011,1,11
19.9995,1,1,35,9.02,61,2011,1,12
19.0012,1,1,35,9.84,61,2011,1,13
19.0012,1,1,30,10.66,77,2011,1,14
16.9979,1,1,30,10.66,72,2011,1,15
16.9979,1,1,30,10.66,76,2011,1,16
15.0013,1,1,30,9.84,157,2011,1,17
7.0015,1,1,32,9.84,157,2011,1,18
8.9981,1,1,47,8.2,110,2011,1,19
7.0015,1,1,47,8.2,52,2011,1,20
8.9981,1,1,64,7.38,52,2011,1,21
8.9981,1,1,69,5.74,20,2011,1,22
7.0015,1,1,55,7.38,12,2011,1,23
7.0015,1,1,55,6.56,5,2011,1,0
7.0015,1,1,59,6.56,2,2011,1,1
8.9981,1,1,63,5.74,1,2011,1,2
6.0032,1,1,63,5.74,2,2011,1,4
7.0015,1,1,68,4.92,4,2011,1,5
7.0015,1,1,74,4.92,36,2011,1,6
8.9981,1,1,74,4.92,94,2011,1,7
11.0014,1,1,69,5.74,179,2011,1,8
15.0013,1,1,64,6.56,100,2011,1,9
22.0028,1,2,69,6.56,42,2011,1,10
19.9995,1,1,51,9.02,57,2011,1,11
11.0014,1,1,51,9.02,78,2011,1,12
12.998,1,1,56,9.84,97,2011,1,13
15.0013,1,1,52,10.66,63,2011,1,14
16.9979,1,1,52,11.48,65,2011,1,15
16.9979,1,1,49,12.3,83,2011,1,16
15.0013,1,1,48,11.48,212,2011,1,17
12.998,1,1,48,10.66,182,2011,1,18
7.0015,1,1,48,9.84,112,2011,1,19
7.0015,1,1,48,9.84,54,2011,1,20
8.9981,1,1,64,9.02,48,2011,1,21
6.0032,1,1,64,9.02,35,2011,1,22
6.0032,1,1,69,8.2,11,2011,1,23
8.9981,1,1,64,8.2,6,2011,1,0
6.0032,1,1,74,6.56,6,2011,1,1
6.0032,1,1,74,6.56,2,2011,1,2
15.0013,1,1,48,9.84,2,2011,1,4
11.0014,1,1,47,9.02,3,2011,1,5
15.0013,1,1,47,8.2,33,2011,1,6
12.998,1,1,43,7.38,88,2011,1,7
19.9995,1,1,40,8.2,195,2011,1,8
22.0028,1,1,37,9.02,115,2011,1,9
22.0028,1,1,37,9.02,57,2011,1,10
22.0028,1,1,33,10.66,46,2011,1,11
22.0028,1,1,33,10.66,79,2011,1,12
19.9995,1,1,30,11.48,71,2011,1,13
12.998,1,1,28,12.3,62,2011,1,14
12.998,1,1,28,12.3,62,2011,1,15
6.0032,1,1,28,12.3,89,2011,1,16
12.998,1,1,38,9.84,190,2011,1,17
8.9981,1,1,38,9.84,169,2011,1,18
7.0015,1,1,38,9.84,132,2011,1,19
11.0014,1,1,47,9.02,89,2011,1,20
12.998,1,1,51,8.2,43,2011,1,21
8.9981,1,1,55,7.38,42,2011,1,22
8.9981,1,1,47,8.2,19,2011,1,23
8.9981,1,1,55,7.38,11,2011,1,0
8.9981,1,1,64,6.56,4,2011,1,1
8.9981,1,1,64,6.56,2,2011,1,2
6.0032,1,2,64,6.56,1,2011,1,4
6.0032,1,2,69,5.74,4,2011,1,5
7.0015,1,2,63,5.74,36,2011,1,6
8.9981,1,2,59,6.56,95,2011,1,7
8.9981,1,1,59,6.56,219,2011,1,8
8.9981,1,2,51,7.38,122,2011,1,9
8.9981,1,1,47,8.2,45,2011,1,10
6.0032,1,1,44,9.02,59,2011,1,11
8.9981,1,1,35,10.66,84,2011,1,12
7.0015,1,1,35,10.66,67,2011,1,13
11.0014,1,1,36,11.48,70,2011,1,14
8.9981,1,1,36,11.48,62,2011,1,15
11.0014,1,1,38,10.66,86,2011,1,16
11.0014,1,1,51,9.02,172,2011,1,17
8.9981,1,1,51,9.02,163,2011,1,18
6.0032,1,1,55,9.02,112,2011,1,19
11.0014,1,1,51,8.2,69,2011,1,20
15.0013,1,2,55,9.02,48,2011,1,21
19.0012,1,2,51,9.02,52,2011,1,22
12.998,1,2,59,8.2,23,2011,1,23
12.998,1,2,64,8.2,17,2011,1,0
15.0013,1,2,69,8.2,7,2011,1,1
15.0013,1,2,69,8.2,1,2011,1,2
8.9981,1,2,69,8.2,1,2011,1,4
8.9981,1,3,55,9.02,5,2011,1,5
8.9981,1,2,69,8.2,34,2011,1,6
8.9981,1,1,69,8.2,84,2011,1,7
16.9979,1,1,51,8.2,210,2011,1,8
19.9995,1,1,47,8.2,134,2011,1,9
22.0028,1,1,37,9.02,63,2011,1,10
15.0013,1,2,40,8.2,67,2011,1,11
16.9979,1,2,37,8.2,59,2011,1,12
19.0012,1,2,37,8.2,73,2011,1,13
16.9979,1,2,40,8.2,50,2011,1,14
11.0014,1,2,37,8.2,72,2011,1,15
11.0014,1,2,37,8.2,87,2011,1,16
8.9981,1,2,37,8.2,187,2011,1,17
6.0032,1,1,40,8.2,123,2011,1,18
6.0032,1,1,55,6.56,95,2011,1,19
7.0015,1,1,47,7.38,51,2011,1,20
8.9981,1,1,47,7.38,39,2011,1,21
11.0014,1,2,43,7.38,36,2011,1,22
11.0014,1,2,51,7.38,15,2011,1,23
11.0014,1,2,51,7.38,25,2011,1,0
6.0032,1,2,55,7.38,16,2011,1,1
8.9981,1,2,55,7.38,16,2011,1,2
11.0014,1,3,55,7.38,7,2011,1,3
11.0014,1,3,55,7.38,1,2011,1,4
11.0014,1,2,74,6.56,5,2011,1,5
11.0014,1,2,74,6.56,2,2011,1,6
7.0015,1,2,74,6.56,9,2011,1,7
7.0015,1,3,93,6.56,15,2011,1,8
7.0015,1,3,93,6.56,20,2011,1,9
11.0014,1,2,80,7.38,61,2011,1,10
26.0027,1,2,69,8.2,62,2011,1,11
23.9994,1,2,59,8.2,98,2011,1,12
22.0028,1,1,44,8.2,102,2011,1,13
32.9975,1,1,32,8.2,95,2011,1,14
30.0026,1,1,32,8.2,74,2011,1,15
30.0026,1,1,29,7.38,76,2011,1,16
36.9974,1,1,37,6.56,69,2011,1,17
19.9995,1,1,39,5.74,55,2011,1,18
16.9979,1,1,36,5.74,30,2011,1,19
16.9979,1,1,36,4.92,28,2011,1,20
23.9994,1,1,39,4.92,37,2011,1,21
26.0027,1,1,36,4.92,34,2011,1,22
30.0026,1,1,39,4.1,22,2011,1,23
26.0027,1,1,42,4.1,25,2011,1,0
31.0009,1,1,42,4.1,12,2011,1,1
31.0009,1,1,46,4.1,11,2011,1,2
27.9993,1,1,46,4.1,4,2011,1,3
12.998,1,1,53,3.28,1,2011,1,4
12.998,1,1,53,3.28,1,2011,1,5
19.0012,1,1,49,4.1,1,2011,1,6
12.998,1,1,53,3.28,6,2011,1,7
19.0012,1,1,49,4.1,10,2011,1,8
35.0008,1,1,46,4.92,19,2011,1,9
26.0027,1,1,43,5.74,49,2011,1,10
35.0008,1,1,40,6.56,49,2011,1,11
30.0026,1,1,37,7.38,83,2011,1,12
30.0026,1,1,34,8.2,75,2011,1,13
31.0009,1,1,32,9.02,72,2011,1,14
23.9994,1,1,35,9.02,82,2011,1,15
30.0026,1,1,34,8.2,92,2011,1,16
26.0027,1,1,37,7.38,62,2011,1,17
22.0028,1,1,40,6.56,48,2011,1,18
22.0028,1,1,43,6.56,41,2011,1,19
16.9979,1,1,46,5.74,38,2011,1,20
27.9993,1,1,46,5.74,20,2011,1,21
19.9995,1,1,46,5.74,15,2011,1,22
12.998,1,1,50,4.92,6,2011,1,23
19.0012,1,1,50,4.92,5,2011,1,0
19.0012,1,1,50,4.92,1,2011,1,1
15.0013,1,1,50,4.92,3,2011,1,2
15.0013,1,1,50,4.92,1,2011,1,3
8.9981,1,1,54,4.1,3,2011,1,4
16.9979,1,1,54,4.1,3,2011,1,5
19.0012,1,1,50,4.92,31,2011,1,6
15.0013,1,1,50,4.92,77,2011,1,7
19.0012,1,2,50,4.92,188,2011,1,8
16.9979,1,2,50,5.74,94,2011,1,9
19.9995,1,2,50,5.74,31,2011,1,10
19.0012,1,2,47,6.56,30,2011,1,11
19.0012,1,2,40,8.2,52,2011,1,12
19.0012,1,2,40,8.2,54,2011,1,13
15.0013,1,2,40,8.2,47,2011,1,14
15.0013,1,2,40,8.2,45,2011,1,15
8.9981,1,1,40,8.2,74,2011,1,16
7.0015,1,1,40,8.2,178,2011,1,17
15.0013,1,1,40,8.2,155,2011,1,18
11.0014,1,1,47,6.56,95,2011,1,19
11.0014,1,1,50,6.56,74,2011,1,20
12.998,1,1,59,5.74,38,2011,1,21
11.0014,1,1,59,5.74,24,2011,1,22
11.0014,1,1,59,5.74,18,2011,1,23
7.0015,1,1,59,5.74,12,2011,1,0
11.0014,1,1,59,5.74,3,2011,1,1
12.998,1,2,55,6.56,3,2011,1,2
8.9981,1,2,55,6.56,6,2011,1,5
8.9981,1,2,55,6.56,27,2011,1,6
8.9981,1,2,55,6.56,99,2011,1,7
6.0032,1,2,51,7.38,217,2011,1,8
11.0014,1,2,51,7.38,130,2011,1,9
11.0014,1,2,51,8.2,54,2011,1,10
8.9981,1,2,47,8.2,35,2011,1,11
7.0015,1,2,51,8.2,57,2011,1,12
6.0032,1,2,59,8.2,52,2011,1,13
6.0032,1,2,59,8.2,63,2011,1,14
6.0032,1,2,80,6.56,47,2011,1,15
15.0013,1,2,86,6.56,76,2011,1,16
