windspeed,season,workingday,holiday,atemp,weather,humidity,temp,year,month,day,hour,min,sec,log_count
0.0,1,0,0,14.395,1,81,9.84,2011,1,1,0,0,0,2.772588722239781
0.0,1,0,0,13.635,1,80,9.02,2011,1,1,1,0,0,3.6888794541139363
0.0,1,0,0,13.635,1,80,9.02,2011,1,1,2,0,0,3.4657359027997265
0.0,1,0,0,14.395,1,75,9.84,2011,1,1,3,0,0,2.5649493574615367
0.0,1,0,0,14.395,1,75,9.84,2011,1,1,4,0,0,0.0
6.0032,1,0,0,12.88,2,75,9.84,2011,1,1,5,0,0,0.0
0.0,1,0,0,13.635,1,80,9.02,2011,1,1,6,0,0,0.6931471805599453
0.0,1,0,0,12.88,1,86,8.2,2011,1,1,7,0,0,1.0986122886681098
0.0,1,0,0,14.395,1,75,9.84,2011,1,1,8,0,0,2.0794415416798357
0.0,1,0,0,17.425,1,76,13.12,2011,1,1,9,0,0,2.6390573296152584
16.9979,1,0,0,19.695,1,76,15.58,2011,1,1,10,0,0,3.58351893845611
19.0012,1,0,0,16.665,1,81,14.76,2011,1,1,11,0,0,4.02535169073515
19.0012,1,0,0,21.21,1,77,17.22,2011,1,1,12,0,0,4.430816798843313
19.9995,1,0,0,22.725,2,72,18.86,2011,1,1,13,0,0,4.543294782270004
19.0012,1,0,0,22.725,2,72,18.86,2011,1,1,14,0,0,4.663439094112067
19.9995,1,0,0,21.97,2,77,18.04,2011,1,1,15,0,0,4.700480365792417
19.9995,1,0,0,21.21,2,82,17.22,2011,1,1,16,0,0,4.532599493153256
19.0012,1,0,0,21.97,2,82,18.04,2011,1,1,17,0,0,4.204692619390966
16.9979,1,0,0,21.21,3,88,17.22,2011,1,1,18,0,0,3.5553480614894135
16.9979,1,0,0,21.21,3,88,17.22,2011,1,1,19,0,0,3.6109179126442243
16.9979,1,0,0,20.455,2,87,16.4,2011,1,1,20,0,0,3.58351893845611
12.998,1,0,0,20.455,2,87,16.4,2011,1,1,21,0,0,3.5263605246161616
15.0013,1,0,0,20.455,2,94,16.4,2011,1,1,22,0,0,3.332204510175204
19.9995,1,0,0,22.725,2,88,18.86,2011,1,1,23,0,0,3.6635616461296463
19.9995,1,0,0,22.725,2,88,18.86,2011,1,2,0,0,0,2.833213344056216
16.9979,1,0,0,21.97,2,94,18.04,2011,1,2,1,0,0,2.833213344056216
19.0012,1,0,0,21.21,2,100,17.22,2011,1,2,2,0,0,2.1972245773362196
12.998,1,0,0,22.725,2,94,18.86,2011,1,2,3,0,0,1.791759469228055
12.998,1,0,0,22.725,2,94,18.86,2011,1,2,4,0,0,1.0986122886681098
19.9995,1,0,0,21.21,3,77,17.22,2011,1,2,6,0,0,0.6931471805599453
12.998,1,0,0,20.455,2,76,16.4,2011,1,2,7,0,0,0.0
15.0013,1,0,0,20.455,3,71,16.4,2011,1,2,8,0,0,2.0794415416798357
15.0013,1,0,0,19.695,2,76,15.58,2011,1,2,9,0,0,2.995732273553991
15.0013,1,0,0,17.425,2,81,14.76,2011,1,2,10,0,0,3.970291913552122
16.9979,1,0,0,16.665,2,71,14.76,2011,1,2,11,0,0,4.248495242049359
19.9995,1,0,0,16.665,2,66,14.76,2011,1,2,12,0,0,4.532599493153256
8.9981,1,0,0,17.425,2,66,14.76,2011,1,2,13,0,0,4.31748811353631
